ID,Watershed_Name,POUR_POINT_COORDS,BOUNDING_BOX_COORDS,Area_km2,KG,HLZ,Dominant_LC,HFP
1,AR-SLu,-33.4648/-66.4598,-33.4148/-66.5098/-33.514799999999994/-66.4098,1,Unknown,Unknown,Forest,50
2,AR-Vir,-28.2395/-56.1886,-28.1895/-56.2386/-28.2895/-56.138600000000004,1,Unknown,Unknown,Forest,50
3,AT-Neu,47.1167/11.3175,47.1667/11.2675/47.066700000000004/11.367500000000001,1,Unknown,Unknown,Grassland,50
4,AU-ASM,-22.283/133.249,-22.233/133.19899999999998/-22.333000000000002/133.299,1,Unknown,Unknown,Savanna,50
5,AU-Ade,-13.0769/131.1178,-13.0269/131.06779999999998/-13.126900000000001/131.1678,1,Unknown,Unknown,Savanna,50
6,AU-Cpr,-34.0021/140.5891,-33.9521/140.5391/-34.052099999999996/140.6391,1,Unknown,Unknown,Savanna,50
7,AU-Cum,-33.6152/150.7236,-33.565200000000004/150.6736/-33.6652/150.77360000000002,1,Unknown,Unknown,Forest,50
8,AU-DaP,-14.0633/131.3181,-14.0133/131.26809999999998/-14.1133/131.3681,1,Unknown,Unknown,Grassland,50
9,AU-DaS,-14.1593/131.3881,-14.1093/131.3381/-14.2093/131.43810000000002,1,Unknown,Unknown,Savanna,50
10,AU-Dry,-15.2588/132.3706,-15.2088/132.32059999999998/-15.308800000000002/132.4206,1,Unknown,Unknown,Savanna,50
11,AU-Emr,-23.8587/148.4746,-23.808699999999998/148.4246/-23.9087/148.52460000000002,1,Unknown,Unknown,Grassland,50
12,AU-Fog,-12.5452/131.3072,-12.495199999999999/131.25719999999998/-12.5952/131.3572,1,Unknown,Unknown,Wetland,50
13,AU-GWW,-30.1913/120.6541,-30.141299999999998/120.6041/-30.2413/120.7041,1,Unknown,Unknown,Savanna,50
14,AU-Gin,-31.3764/115.7138,-31.3264/115.66380000000001/-31.4264/115.7638,1,Unknown,Unknown,Savanna,50
