ID,Basin_File,River_File,Basin_Path,River_Path,BOUNDING_BOX_COORDS,Lat,Lon,Area_km2
CAN_10LC003,CAN_10LC003_distributed_basin.shp,CAN_10LC003_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_10LC003,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_10LC003,67.89625/-133.86458333333334/67.46375/-132.79708333333335,67.69436495911599,-133.27510502186294,990.9659991598244
CAN_08MB006,CAN_08MB006_distributed_basin.shp,CAN_08MB006_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08MB006,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08MB006,51.52541667/-123.40541666666667/51.07041666666667/-122.84458333333333,51.316302486137374,-123.146880418646,995.9589526698579
CAN_07CD004,CAN_07CD004_distributed_basin.shp,CAN_07CD004_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07CD004,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07CD004,56.71041666666666/-111.67625/56.14958333333335/-111.19625000000002,56.39996877421859,-111.41295485241088,846.080289601877
CAN_07JA003,CAN_07JA003_distributed_basin.shp,CAN_07JA003_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07JA003,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07JA003,55.905416666666675/-114.59958333333334/55.505416666666676/-113.89458333333334,55.706428203721316,-114.21541050499185,953.8088956674816
CAN_01BQ001,CAN_01BQ001_distributed_basin.shp,CAN_01BQ001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_01BQ001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_01BQ001,47.36708333333333/-66.48041666666666/47.08625/-65.60458333333335,47.24752579953877,-66.01521896635185,972.0757849588581
CAN_05LJ007,CAN_05LJ007_distributed_basin.shp,CAN_05LJ007_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05LJ007,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05LJ007,50.95208333/-99.87625/50.62541666666667/-99.24208333333334,50.79278521391799,-99.54398591274882,950.6488842285265
CAN_07CB002,CAN_07CB002_distributed_basin.shp,CAN_07CB002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07CB002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07CB002,56.03208333333333/-112.16208333333334/55.46625000000002/-111.79125000000002,55.74008354380629,-111.97786695239334,815.2658275635351
CAN_05OC019,CAN_05OC019_distributed_basin.shp,CAN_05OC019_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OC019,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OC019,49.205416666666665/-98.16625/48.919583333333335/-97.38041666666668,49.05360748103963,-97.73575992178357,760.6816516494491
CAN_09AA012,CAN_09AA012_distributed_basin.shp,CAN_09AA012_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_09AA012,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_09AA012,60.35041666666666/-135.65125/59.99541666666668/-134.85291667,60.17549104075351,-135.24674111171913,839.14881117042
CAN_10AC005,CAN_10AC005_distributed_basin.shp,CAN_10AC005_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_10AC005,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_10AC005,59.448750000000004/-130.48125/58.97625000000001/-129.81791667,59.19155265222811,-130.18255691583855,843.6737858140332
