site,average_value
AR-SLu,5.3467030518855045e-06
AR-Vir,0.0
AT-Neu,199.81316099422722
AU-ASM,0.0
AU-Ade,0.0
AU-Cpr,0.0
AU-DaP,0.0
AU-Dry,0.0
AU-DaS,0.0
AU-Cum,0.0
AU-Emr,0.0
AU-Fog,0.0
AU-GWW,0.0
AU-How,0.0
AU-Lox,0.0
AU-RDF,0.0
AU-Rig,2.37994291671222e-09
AU-Gin,0.0
AU-Rob,0.0
CN-Du2,0.49846353828987755
AU-TTE,0.0
AU-Tum,0.05394077288806646
AU-Wac,7.140583009505602e-09
AU-Whr,0.0
AU-Wom,8.255731019542273e-06
AU-Ync,0.0
CA-NS6,4.9532961986489985
CZ-BK1,25.159635485822466
IT-SRo,0.0006659707599881562
CA-NS2,22.383033116301835
CA-NS5,5.409768443951177
ES-LJu,0.017421500528707164
CA-SCB,9.563270382618251
CA-Obs,11.592497668886438
CA-Oas,22.12024990867243
CA-NS7,5.673673699032922
CA-Qfo,3.679850154172116
CA-SF1,12.417494770027515
CA-SF2,1.6760161393375004
CA-SF3,1.7190839205387283
CA-SCC,9.567511745039406
CA-TP1,0.38496322559096907
CA-TP2,0.36351664981871185
CA-TP3,7.943973810945258
CA-TP4,8.033947401625742
CA-TPD,14.391394055194557
CG-Tch,0.0
CH-Cha,5.893191521635671
CH-Dav,211.88033744179594
CH-Fru,112.38064119679063
CH-Lae,14.753766886945547
CN-Din,6.454065595480488e-07
CN-Cha,24.39448343805524
CH-Oe2,1.5353162560179583
CN-Cng,0.340936209463812
CN-Dan,1.844854037874771
RU-Cok,1.2703155283239818
CN-Du3,0.4970424775878209
CH-Oe1,1.5459763587465634
CN-HaM,5.372787314555009
CN-Ha2,3.0450527551585758
CN-Hgu,1.110142625256306
CN-Qia,0.021459636403169273
US-Blo,1.2354282245870003
CZ-BK2,23.41038723444544
CN-Sw2,0.4547970305582286
DE-Akm,2.642965901928285
DE-Dgw,1.604466459088309
DE-Hai,7.035629410756668
DE-Gri,0.695088016170338
DE-Kli,0.6948946760866801
DE-Hte,1.2486531676345296
DE-Geb,0.35995732796585805
US-BZF,11.846135464864926
DE-Lnf,6.50418667807827
DE-RuR,0.5694829193067708
DE-RuS,0.15197489345816656
US-Beo,1.3587947915185277
DE-Seh,0.15234364559022476
US-BZS,18.818539306622412
DE-Spw,3.911992431914523
DE-Tha,3.8423978492631243
DE-Zrk,0.24011570273247784
DK-Eng,0.13954097875840185
DK-Fou,0.10247627238197522
DK-Sor,0.20006685192670742
ES-Amo,4.4708814556909884e-07
ES-LgS,0.1763946286313661
ES-Ln2,0.12177456722854743
FI-Hyy,28.575585181122563
FI-Jok,2.6431826973106016
FI-Let,26.777577846837318
FI-Lom,14.602337721677845
FI-Sod,8.843202095467579
FI-Si2,2.4341490659185325
FR-Fon,0.07710617096035463
FR-Gri,0.042370874256171656
FR-LGt,0.060811692839122404
FR-LBr,0.011410068583529368
FI-Sii,2.4302104879755215
GL-ZaH,192.31000269415134
GF-Guy,0.0
GH-Ank,0.0
IT-BCi,0.0004218386568077894
US-ARb,0.11224129192093264
IT-CA2,0.031158781174057834
IT-CA3,0.03125462305333971
IT-Cas,0.6353580910238973
IT-Col,1.5766258663518586
GL-ZaF,183.40446703799296
IT-Cp2,6.071750900842409e-07
FR-Pue,0.0956641657197498
IT-Cpz,1.944750827743063e-05
IT-Isp,0.8423327387954944
IT-La2,39.519216485787304
IT-Lav,37.16773214528222
IT-MBo,43.96488191711001
IT-Noe,8.453170917834555e-08
IT-PT1,0.3364355072975526
IT-Ren,49.9414818287412
IT-Ro1,0.03931317684214764
IT-Ro2,0.15429021976162696
DE-Obe,5.340726550376958
IT-SR2,0.0006704849374222542
IT-Tor,243.0046308540154
JP-BBY,1.1440006531480802
JP-Mse,0.042266252775549455
JP-MBF,54.42006432716029
JP-SMF,0.006041468187796746
JP-SwL,43.86280241250601
KR-CRK,0.5662795208825143
GL-NuF,22.580828415963133
MY-MLM,0.0
ID-Pag,0.0
HK-MPM,0.0
MY-PSO,0.0
NL-Hor,0.04774601768972696
NL-Loo,0.23535804640809221
NZ-Kop,3.758637226911817e-08
PA-SPn,0.0
PA-SPs,0.0
PH-RiF,0.0
RU-Che,1.2683023573985621
RU-Ch2,1.2685223543441189
US-ARc,0.11111865084778083
RU-Fy2,33.683771720408046
RU-Fyo,33.66214410985016
RU-Ha1,1.2673119661985435
RU-Tks,1.4630453573591522
RU-Vrk,1.3215485876819526
RU-SkP,4.483043709541562
SD-Dem,0.0
SE-St1,66.04546487805635
SE-Deg,5.81933057028865
SJ-Adv,25.26057081295841
SN-Dhr,0.0
UK-LBT,0.30812002812308337
US-A10,1.3283498447792417
US-A03,1.313289731507989
US-AR1,0.16712965582101888
US-GLE,2.7709653606925886
US-AR2,0.1670539006472675
US-EML,2.8296248508350192
US-Atq,1.3414979492945256
AU-Stp,0.0
US-Bi1,8.65662714183754e-09
US-CRT,0.3165244464531733
US-Cop,0.7237978530679066
US-NC4,0.03994494438834777
US-Me4,6.078132963316834
US-DPW,2.2811242769353204e-11
US-GBT,2.7494737692784366
US-Bes,1.356256132360929
US-ORv,2.906335282982414
US-HRA,0.0968099781538436
US-Wkg,0.0007546585835300166
US-Ha1,20.9826613225874
US-Ho1,38.697926845158534
US-IB2,0.5335338800864445
US-ICs,4.868400632645181
US-Ivo,1.824045324544912
US-KS1,0.0
US-KS2,0.0
US-LA1,0.0004070661352680686
US-LA2,0.00034989911964757844
US-LWW,0.10882818514467581
US-Lin,0.0057577047863327496
US-Los,1.5491596010149415
US-MAC,0.0
US-Goo,0.09355949306754444
US-MMS,2.754106636031006
US-Me1,1.757893822240078
US-HRC,0.09621824074382203
US-Me3,2.530417418531471
US-Me5,8.194508874769232
US-Me6,2.5210301565362387
US-Myb,1.1464842798241048e-09
US-NGB,1.358152759583516
US-NGC,3.7484566828798775
US-NR1,20.028989984782473
US-Ne1,0.32793848014709787
US-Ne3,0.32872426377696795
US-OWC,0.30279504997028217
US-Oho,6.940266169001115
US-PFa,1.6811197370727473
US-Prr,8.81104199244343
US-SRC,0.0008051323089854435
US-SRG,0.003999460776548274
US-SRM,0.004044378004700378
US-Snd,2.742357483873847e-09
US-Sne,2.7430550677262116e-09
US-Srr,7.350724991514003e-10
US-StJ,0.09176196588513856
US-Sta,1.022288118072238
US-Syv,28.648195419700837
US-Ton,0.00010016845724559566
US-Tw1,2.741813322080023e-09
US-Tw2,2.742645824210235e-09
US-Tw3,2.743172949657916e-09
