Country,Station_id,Station_name,Station_lat,Station_lon,Station_source,Outlet_lat,Outlet_lon,Outlet_source,Mapped_lat,Mapped_lon,Manual_lat,Manual_lon,Manual_outlet_location,Basin_area_km2,Ref_area_1_src,Ref_area_1_km2,Ref_area_2_src,Ref_area_2_km2,Ref_shape,Ref_shape_source,Ref_shape_area_km2,Ref_and_new_shape_fractional_overlap,Manual_delineation_notes,Delineation_confidence,Delineation_notes,iv_flow_obs_availability_start,iv_flow_obs_availability_end,flow_obs_missing_hourly,dv_flow_obs_availability_start,dv_flow_obs_availability_end,flow_obs_missing_daily,dv_flow_obs_timezone,is_headwater,sub_basins,subset_category
CAN,01AD003,ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE,47.20661,-68.95694,WSC 20222 data set,47.20601615,-68.95672679,WSC 20222 data set,47.20589468,-68.95660532,-999.0,-999.0,,1343.736223,HYDAT gross drainage area,1350.0,HYDAT effective drainage area,,yes,WSC 2022 data set,1348.3,0.985512695,,high,CAN_01AD003 shares part of its upstream area with gauge CAN_01AD002.,2010-12-31 20:00:00,2023-01-02 23:00:00,13,1951-10-01 00:00:00,2020-12-31 00:00:00,0,AST,0,31,macro-scale
CAN,01AF007,GRANDE RIVIERE AT VIOLETTE BRIDGE,47.24697,-67.92128,WSC 20222 data set,47.24690817,-67.92127056,WSC 20222 data set,47.24666667,-67.92127056,-999.0,-999.0,,323.8344727,HYDAT gross drainage area,339.0,HYDAT effective drainage area,,yes,WSC 2022 data set,325.196,0.977786892,,high,,2011-01-01 01:00:00,2023-01-02 23:00:00,4,1977-01-01 00:00:00,2020-12-31 00:00:00,0,AST,0,9,meso-scale
CAN,01AF009,IROQUOIS RIVER AT MOULIN MORNEAULT,47.45783,-68.35683,WSC 20222 data set,47.45762152,-68.35671032,WSC 20222 data set,47.45762152,-68.35666667,-999.0,-999.0,,183.6754339,HYDAT gross drainage area,182.0,HYDAT effective drainage area,,yes,WSC 2022 data set,183.43,0.986568837,,high,,2011-01-01 01:00:00,2022-12-10 03:00:00,0,1991-01-01 00:00:00,2020-12-31 00:00:00,0,AST,0,3,meso-scale
CAN,01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,46.21622,-67.72794,WSC 20222 data set,46.21635228,-67.72783717,WSC 20222 data set,46.21626139,-67.72792806,-999.0,-999.0,,1213.320279,HYDAT gross drainage area,1210.0,HYDAT effective drainage area,,yes,WSC 2022 data set,1210.06,0.97858705,,high,,2011-01-01 01:00:00,2022-12-10 03:00:00,155,1967-12-01 00:00:00,2020-12-31 00:00:00,14,AST,0,25,macro-scale
CAN,01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,46.43836,-67.73844,WSC 20222 data set,46.43850868,-67.73839154,WSC 20222 data set,46.43833333,-67.73839154,-999.0,-999.0,,490.5678534,HYDAT gross drainage area,484.0,HYDAT effective drainage area,,yes,WSC 2022 data set,487.32,0.973647992,,high,,2011-01-01 01:00:00,2023-01-02 23:00:00,261,1967-11-01 00:00:00,2019-12-31 00:00:00,20,AST,0,15,meso-scale
CAN,01AJ010,BECAGUIMEC STREAM AT COLDSTREAM,46.34089,-67.46511,WSC 20222 data set,46.34079328,-67.46518666,WSC 20222 data set,46.34071998,-67.46511335,-999.0,-999.0,,348.3235362,HYDAT gross drainage area,350.0,HYDAT effective drainage area,,yes,WSC 2022 data set,349.503,0.974516367,,high,,2011-01-01 01:00:00,2022-12-10 03:00:00,28,1973-06-01 00:00:00,2020-12-31 00:00:00,12,AST,0,3,meso-scale
CAN,01AK001,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,45.94353,-67.32036,WSC 20222 data set,45.94275492,-67.32046286,WSC 20222 data set,45.94285889,-67.32035889,-999.0,-999.0,,232.8531292,HYDAT gross drainage area,234.0,HYDAT effective drainage area,,yes,WSC 2022 data set,233.811,0.981045703,,high,,2010-12-31 20:00:00,2023-01-02 23:00:00,92,1950-01-01 00:00:00,2020-12-31 00:00:00,0,AST,0,5,meso-scale
CAN,01AK006,MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM,46.08281,-66.73303,WSC 20222 data set,46.08283117,-66.73320381,WSC 20222 data set,46.04583333,-66.69833333,46.08283117,-66.73320381,yes,4.804270759,HYDAT gross drainage area,5.699999809,HYDAT effective drainage area,,yes,WSC 2022 data set,5.1057,0.85545853,gauge is subbasin of MERIT headwater basin,medium,"Very flat region, difference with reference shape likely explained by DEM differences",2010-12-31 20:00:00,2022-12-10 03:00:00,170,1966-11-01 00:00:00,2019-12-31 00:00:00,0,AST,1,1,headwater
CAN,01AK007,NACKAWIC STREAM NEAR TEMPERANCE VALE,46.04878,-67.23961,WSC 20222 data set,46.04871005,-67.23958614,WSC 20222 data set,46.04871005,-67.24,-999.0,-999.0,,246.837962,HYDAT gross drainage area,240.0,HYDAT effective drainage area,,yes,WSC 2022 data set,248.504,0.980227839,,high,,2011-01-01 01:00:00,2022-12-10 03:00:00,41,1967-11-01 00:00:00,2019-12-31 00:00:00,16,AST,0,7,meso-scale
CAN,01AL002,NASHWAAK RIVER AT DURHAM BRIDGE,46.12592,-66.61131,WSC 20222 data set,46.12591122,-66.61165083,WSC 20222 data set,46.12586436,-66.61169769,-999.0,-999.0,,1466.685406,HYDAT gross drainage area,1450.0,HYDAT effective drainage area,,yes,WSC 2022 data set,1448.52,0.974612418,,high,CAN_01AL002 shares part of its upstream area with gauge CAN_01AL004.,2011-01-01 01:00:00,2023-01-02 23:00:00,1238,1962-01-01 00:00:00,2019-12-31 00:00:00,0,AST,0,44,macro-scale
