FID, LON, LAT, STATION, Site_No
0003,-158.1801605,  21.5015831,Makaha_Str_nr_Makaha__Oahu__HI,16211600
0017,-158.0545807,  21.6354713,Kamananui_Str_at_Maunawai__Oahu__HI,16330000
0018,-158.0510864,  21.5002499,Kaukonahua_Stream_blw_Wahiawa_Reservoir__Oahu__HI,16210200
0021,-158.0447845,  21.3781395,Honouliuli_Str_at_H-1_Freeway_nr_Waipahu__Oahu__HI,16212490
0026,-158.0109100,  21.3834724,Waikele_Str_at_Waipahu__Oahu__HI,16213000
0027,-158.0002441,  21.5623341,Opaeula_Str_nr_Wahiawa__Oahu__HI,16345000
0028,-157.9960480,  21.4888058,SF_Kaukonahua_Str_at_E_pump__nr_Wahiawa__Oahu__HI,16208000
0032,-157.9453125,  21.5162773,NF_Kaukonahua_Str_abv_RB__nr_Wahiawa__Oahu__HI,16200000
0033,-157.9127197,  21.3718891,N._Halawa_Str_nr_Quar._Stn._at_Halawa__Oahu__HI,16226400
0035,-157.9080505,  21.5861111,Kaluanui_Stream_nr_Punaluu__Oahu__HI,16304200
0036,-157.9033356,  21.3820000,N._Halawa_Str_nr_Honolulu__Oahu__HI,16226200
0037,-157.8988953,  21.5563889,Punaluu_Str_abv_Punaluu_Ditch_Intake__Oahu__HI,16301050
0038,-157.8825531,  21.5406113,Kahana_Str_at_alt_30_ft_nr_Kahana__Oahu__HI,16296500
0039,-157.8629761,  21.4970837,Waikane_Str_at_alt_75_ft_at_Waikane__Oahu__HI,16294900
0040,-157.8566132,  21.4481659,Waihee_Str_nr_Kahaluu__Oahu__HI,16284200
0041,-157.8486176,  21.3880558,Moanalua_Stream_nr_Kaneohe__Oahu__HI,16227500
0043,-157.8458862,  21.4820271,Waiahole_Stream_above_Kamehameha_Hwy__Oahu__HI,16294100
0044,-157.8444519,  21.3633614,Kalihi_Str_nr_Honolulu__Oahu__HI,16229000
0045,-157.8438568,  21.4387226,Kahaluu_Str_nr_Ahuimanu__Oahu__HI,16283200
0047,-157.8367462,  21.2966385,Makiki_Stream_at_King_St._bridge__Oahu__HI,16238000
0050,-157.8232269,  21.4092083,Heeia_Stream_at_Haiku_Valley_nr_Kaneohe__Oahu__HI,16275000
0051,-157.8185577,  21.2865276,Manoa-Palolo_Drainage_Canal_at_Moiliili__Oahu__HI,16247100
0053,-157.8094940,  21.3084450,Manoa_Stream_at_Woodlawn_Drive__Oahu__HI,16241600
0055,-157.8008575,  21.3283615,Waihi_Stream_at_Honolulu__Oahu__HI,16238500
0056,-157.7996063,  21.3282223,Waiakeakua_Str_at_Honolulu__Oahu__HI,16240500
0057,-157.7981110,  21.4118061,Kaneohe_Str_blw_Kamehameha_Hwy__Oahu__HI,16274100
0058,-157.7904968,  21.4057503,Kawa_Str_at_Kaneohe__Oahu__HI,16265000
0059,-157.7883301,  21.3066673,Pukele_Stream_near_Honolulu__Oahu__HI,16244000
0060,-157.7621613,  21.3595009,Makawao_Str_nr_Kailua__Oahu__HI,16254000
0062,-157.7289124,  21.3499718,Waimanalo_Str_at_Waimanalo__Oahu__HI,16249000
0064,-158.0669098,  21.4018326,Honouliuli_Stream_Tributary_near_Waipahu__Oahu__HI,16212480
0002,-157.0178680,  21.0965271,Kaunakakai_Gulch_at_altitude_75_feet__Molokai__HI,16414200
